Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Ramp34,"RAMP (1200, 20.000000, 200.000000, 2.700000)",Double,1,RO,200,,,,,,,,,,bb2,
Ramp35,"RAMP (1600, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp36,"RAMP (1100, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp37,"RAMP (700, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp38,"RAMP (1200, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp39,"RAMP (1800, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp40,"RAMP (1800, 20.000000, 200.000000, 2.700000)",Double,1,RO,500,,,,,,,,,,bb2,
Ramp41,"RAMP (700, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp42,"RAMP (800, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp43,"RAMP (1300, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp44,"RAMP (1300, 20, 200, 2)",Long,1,RO,200,,,,,,,,,,bb2,
Ramp45,"RAMP (1100, 20, 200, 2)",Long,1,RO,800,,,,,,,,,,bb2,
Ramp46,"RAMP (600, 20.000000, 200.000000, 2.700000)",Double,1,RO,700,,,,,,,,,,bb2,
Ramp47,"RAMP (500, 20.000000, 200.000000, 2.700000)",Double,1,RO,500,,,,,,,,,,bb2,
Ramp48,"RAMP (1700, 20.000000, 200.000000, 2.700000)",Double,1,RO,300,,,,,,,,,,bb2,
Ramp49,"RAMP (400, 20, 200, 2)",Long,1,RO,200,,,,,,,,,,bb2,
Ramp50,"RAMP (1900, 20.000000, 200.000000, 2.700000)",Double,1,RO,500,,,,,,,,,,bb2,
Ramp51,"RAMP (500, 20.000000, 200.000000, 2.700000)",Double,1,RO,700,,,,,,,,,,bb2,
Ramp52,"RAMP (2000, 20.000000, 200.000000, 2.700000)",Double,1,RO,300,,,,,,,,,,bb2,
Ramp53,"RAMP (1400, 20, 200, 2)",Long,1,RO,100,,,,,,,,,,bb2,
Ramp54,"RAMP (300, 20, 200, 2)",Long,1,RO,900,,,,,,,,,,bb2,
Ramp55,"RAMP (2000, 20.000000, 200.000000, 2.700000)",Double,1,RO,200,,,,,,,,,,bb2,
Ramp56,"RAMP (700, 20, 200, 2)",Long,1,RO,200,,,,,,,,,,bb2,
Ramp57,"RAMP (100, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp58,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,200,,,,,,,,,,bb2,
Ramp59,"RAMP (1700, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp60,"RAMP (1500, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp61,"RAMP (1000, 20, 200, 2)",Long,1,RO,600,,,,,,,,,,bb2,
Ramp62,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp63,"RAMP (1800, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp64,"RAMP (1900, 20, 200, 2)",Long,1,RO,300,,,,,,,,,,bb2,
Ramp65,"RAMP (1300, 20, 200, 2)",Long,1,RO,900,,,,,,,,,,bb2,
Ramp66,"RAMP (1900, 20.000000, 200.000000, 2.700000)",Double,1,RO,400,,,,,,,,,,bb2,
Ramp67,"RAMP (1400, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp68,"RAMP (1200, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp69,"RAMP (1700, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp70,"RAMP (1500, 20, 200, 2)",Long,1,RO,100,,,,,,,,,,bb2,
Ramp71,"RAMP (1400, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp72,"RAMP (300, 20, 200, 2)",Long,1,RO,500,,,,,,,,,,bb2,
Ramp73,"RAMP (1900, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp74,"RAMP (1700, 20.000000, 200.000000, 2.700000)",Double,1,RO,400,,,,,,,,,,bb2,
Ramp75,"RAMP (1000, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp76,"RAMP (800, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp77,"RAMP (1500, 20, 200, 2)",Long,1,RO,800,,,,,,,,,,bb2,
Ramp78,"RAMP (1800, 20, 200, 2)",Long,1,RO,600,,,,,,,,,,bb2,
Ramp79,"RAMP (1200, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp80,"RAMP (100, 20, 200, 2)",Long,1,RO,900,,,,,,,,,,bb2,
Ramp81,"RAMP (300, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp82,"RAMP (1500, 20.000000, 200.000000, 2.700000)",Double,1,RO,300,,,,,,,,,,bb2,
Ramp83,"RAMP (400, 20.000000, 200.000000, 2.700000)",Double,1,RO,700,,,,,,,,,,bb2,
Ramp84,"RAMP (2000, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp85,"RAMP (1800, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp86,"RAMP (800, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp87,"RAMP (1500, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp88,"RAMP (1300, 20, 200, 2)",Long,1,RO,100,,,,,,,,,,bb2,
Ramp89,"RAMP (500, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp90,"RAMP (2000, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp91,"RAMP (100, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp92,"RAMP (700, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp93,"RAMP (1700, 20, 200, 2)",Long,1,RO,600,,,,,,,,,,bb2,
Ramp94,"RAMP (1100, 20, 200, 2)",Long,1,RO,100,,,,,,,,,,bb2,
Ramp95,"RAMP (400, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp96,"RAMP (1400, 20.000000, 200.000000, 2.700000)",Double,1,RO,300,,,,,,,,,,bb2,
Ramp97,"RAMP (1800, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp98,"RAMP (500, 20, 200, 2)",Long,1,RO,500,,,,,,,,,,bb2,
Ramp99,"RAMP (700, 20.000000, 200.000000, 2.700000)",Double,1,RO,400,,,,,,,,,,bb2,
Ramp100,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,500,,,,,,,,,,bb2,
Ramp101,"RAMP (300, 20.000000, 200.000000, 2.700000)",Double,1,RO,500,,,,,,,,,,bb2,
Ramp102,"RAMP (1000, 20, 200, 2)",Long,1,RO,100,,,,,,,,,,bb2,
Ramp103,"RAMP (1800, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp104,"RAMP (1200, 20.000000, 200.000000, 2.700000)",Double,1,RO,200,,,,,,,,,,bb2,
Ramp105,"RAMP (100, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp106,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp107,"RAMP (100, 20, 200, 2)",Long,1,RO,300,,,,,,,,,,bb2,
Ramp108,"RAMP (400, 20.000000, 200.000000, 2.700000)",Double,1,RO,400,,,,,,,,,,bb2,
Ramp109,"RAMP (2000, 20, 200, 2)",Long,1,RO,600,,,,,,,,,,bb2,
Ramp110,"RAMP (1700, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp111,"RAMP (1000, 20, 200, 2)",Long,1,RO,100,,,,,,,,,,bb2,
Ramp112,"RAMP (2000, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp113,"RAMP (100, 20, 200, 2)",Long,1,RO,100,,,,,,,,,,bb2,
Ramp114,"RAMP (1500, 20, 200, 2)",Long,1,RO,100,,,,,,,,,,bb2,
Ramp115,"RAMP (800, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp116,"RAMP (1500, 20.000000, 200.000000, 2.700000)",Double,1,RO,400,,,,,,,,,,bb2,
Ramp117,"RAMP (700, 20, 200, 2)",Long,1,RO,800,,,,,,,,,,bb2,
Ramp118,"RAMP (1900, 20, 200, 2)",Long,1,RO,900,,,,,,,,,,bb2,
Ramp119,"RAMP (1900, 20.000000, 200.000000, 2.700000)",Double,1,RO,500,,,,,,,,,,bb2,
Ramp120,"RAMP (1500, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp121,"RAMP (1100, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp122,"RAMP (600, 20, 200, 2)",Long,1,RO,500,,,,,,,,,,bb2,
Ramp123,"RAMP (1300, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp124,"RAMP (100, 20, 200, 1)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp125,"RAMP (500, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp126,"RAMP (1200, 20, 200, 2)",Long,1,RO,900,,,,,,,,,,bb2,
Ramp127,"RAMP (1900, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp128,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,500,,,,,,,,,,bb2,
Ramp129,"RAMP (1800, 20, 200, 2)",Long,1,RO,500,,,,,,,,,,bb2,
Ramp130,"RAMP (1000, 20.000000, 200.000000, 2.700000)",Double,1,RO,200,,,,,,,,,,bb2,
Ramp131,"RAMP (1100, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp132,"RAMP (1200, 20, 200, 2)",Long,1,RO,500,,,,,,,,,,bb2,
Ramp133,"RAMP (1000, 20, 200, 2)",Long,1,RO,300,,,,,,,,,,bb2,
Ramp134,"RAMP (1300, 20.000000, 200.000000, 2.700000)",Double,1,RO,700,,,,,,,,,,bb2,
Ramp135,"RAMP (400, 20, 200, 2)",Long,1,RO,900,,,,,,,,,,bb2,
Ramp136,"RAMP (700, 20, 200, 2)",Long,1,RO,300,,,,,,,,,,bb2,
Ramp137,"RAMP (1400, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp138,"RAMP (1200, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp139,"RAMP (700, 20, 200, 2)",Long,1,RO,600,,,,,,,,,,bb2,
Ramp140,"RAMP (100, 20, 200, 2)",Long,1,RO,600,,,,,,,,,,bb2,
Ramp141,"RAMP (300, 20, 200, 2)",Long,1,RO,500,,,,,,,,,,bb2,
Ramp142,"RAMP (1900, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp143,"RAMP (1900, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp144,"RAMP (500, 20, 200, 2)",Long,1,RO,600,,,,,,,,,,bb2,
Ramp145,"RAMP (500, 20, 200, 2)",Long,1,RO,100,,,,,,,,,,bb2,
Ramp146,"RAMP (1500, 20, 200, 2)",Long,1,RO,100,,,,,,,,,,bb2,
Ramp147,"RAMP (600, 20, 200, 2)",Long,1,RO,100,,,,,,,,,,bb2,
Ramp148,"RAMP (1700, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp149,"RAMP (700, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp150,"RAMP (1200, 20, 200, 2)",Long,1,RO,200,,,,,,,,,,bb2,
Ramp151,"RAMP (400, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp152,"RAMP (700, 20.000000, 200.000000, 2.700000)",Double,1,RO,700,,,,,,,,,,bb2,
Ramp153,"RAMP (1600, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp154,"RAMP (1800, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp155,"RAMP (300, 20.000000, 200.000000, 2.700000)",Double,1,RO,300,,,,,,,,,,bb2,
Ramp156,"RAMP (1000, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp157,"RAMP (1200, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp158,"RAMP (700, 20, 200, 2)",Long,1,RO,800,,,,,,,,,,bb2,
Ramp159,"RAMP (1600, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp160,"RAMP (500, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp161,"RAMP (1700, 20, 200, 2)",Long,1,RO,300,,,,,,,,,,bb2,
Ramp162,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp163,"RAMP (800, 20, 200, 2)",Long,1,RO,900,,,,,,,,,,bb2,
Ramp164,"RAMP (500, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp165,"RAMP (100, 20, 200, 2)",Long,1,RO,500,,,,,,,,,,bb2,
Ramp166,"RAMP (1900, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp167,"RAMP (1500, 20.000000, 200.000000, 2.700000)",Double,1,RO,200,,,,,,,,,,bb2,
Ramp168,"RAMP (1700, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp169,"RAMP (300, 20, 200, 2)",Long,1,RO,800,,,,,,,,,,bb2,
Ramp170,"RAMP (1800, 20, 200, 2)",Long,1,RO,900,,,,,,,,,,bb2,
Ramp171,"RAMP (1800, 20, 200, 2)",Long,1,RO,300,,,,,,,,,,bb2,
Ramp172,"RAMP (1100, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp173,"RAMP (900, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp174,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp175,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,300,,,,,,,,,,bb2,
Ramp176,"RAMP (1000, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp177,"RAMP (1400, 20.000000, 200.000000, 2.700000)",Double,1,RO,400,,,,,,,,,,bb2,
Ramp178,"RAMP (1900, 20, 200, 2)",Long,1,RO,600,,,,,,,,,,bb2,
Ramp179,"RAMP (400, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp180,"RAMP (500, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp181,"RAMP (1900, 20, 200, 2)",Long,1,RO,500,,,,,,,,,,bb2,
Ramp182,"RAMP (1300, 20.000000, 200.000000, 2.700000)",Double,1,RO,300,,,,,,,,,,bb2,
Ramp183,"RAMP (1500, 20.000000, 200.000000, 2.700000)",Double,1,RO,200,,,,,,,,,,bb2,
Ramp184,"RAMP (500, 20.000000, 200.000000, 2.700000)",Double,1,RO,400,,,,,,,,,,bb2,
Ramp185,"RAMP (1600, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp186,"RAMP (500, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp187,"RAMP (800, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp188,"RAMP (1700, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp189,"RAMP (800, 20.000000, 200.000000, 2.700000)",Double,1,RO,400,,,,,,,,,,bb2,
Ramp190,"RAMP (500, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp191,"RAMP (1900, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp192,"RAMP (1900, 20.000000, 200.000000, 2.700000)",Double,1,RO,200,,,,,,,,,,bb2,
Ramp193,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,200,,,,,,,,,,bb2,
Ramp194,"RAMP (1000, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp195,"RAMP (900, 20, 200, 2)",Long,1,RO,600,,,,,,,,,,bb2,
Ramp196,"RAMP (1900, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp197,"RAMP (1300, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp198,"RAMP (900, 20.000000, 200.000000, 2.700000)",Double,1,RO,300,,,,,,,,,,bb2,
Ramp199,"RAMP (2000, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp200,"RAMP (1200, 20, 200, 2)",Long,1,RO,900,,,,,,,,,,bb2,
Ramp201,"RAMP (800, 20, 200, 2)",Long,1,RO,300,,,,,,,,,,bb2,
Ramp202,"RAMP (900, 20, 200, 2)",Long,1,RO,1000,,,,,,,,,,bb2,
Ramp203,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp204,"RAMP (400, 20.000000, 200.000000, 2.700000)",Double,1,RO,400,,,,,,,,,,bb2,
Ramp205,"RAMP (1600, 20, 200, 2)",Long,1,RO,800,,,,,,,,,,bb2,
Ramp206,"RAMP (1200, 20.000000, 200.000000, 2.700000)",Double,1,RO,300,,,,,,,,,,bb2,
Ramp207,"RAMP (1600, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp208,"RAMP (1100, 20, 200, 2)",Long,1,RO,300,,,,,,,,,,bb2,
Ramp209,"RAMP (700, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp210,"RAMP (1200, 20, 200, 2)",Long,1,RO,800,,,,,,,,,,bb2,
Ramp211,"RAMP (1800, 20.000000, 200.000000, 2.700000)",Double,1,RO,200,,,,,,,,,,bb2,
Ramp212,"RAMP (1800, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp213,"RAMP (1800, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp214,"RAMP (700, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp215,"RAMP (800, 20.000000, 200.000000, 2.700000)",Double,1,RO,500,,,,,,,,,,bb2,
Ramp216,"RAMP (1300, 20.000000, 200.000000, 2.700000)",Double,1,RO,300,,,,,,,,,,bb2,
Ramp217,"RAMP (1300, 20, 200, 2)",Long,1,RO,1000,,,,,,,,,,bb2,
Ramp218,"RAMP (1100, 20, 200, 2)",Long,1,RO,200,,,,,,,,,,bb2,
Ramp219,"RAMP (600, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp220,"RAMP (500, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp221,"RAMP (1700, 20.000000, 200.000000, 2.700000)",Double,1,RO,400,,,,,,,,,,bb2,
Ramp222,"RAMP (400, 20, 200, 2)",Long,1,RO,100,,,,,,,,,,bb2,
Ramp223,"RAMP (1400, 20, 200, 2)",Long,1,RO,600,,,,,,,,,,bb2,
Ramp224,"RAMP (2000, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp225,"RAMP (1900, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp226,"RAMP (500, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp227,"RAMP (2000, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp228,"RAMP (1400, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp229,"RAMP (300, 20, 200, 2)",Long,1,RO,300,,,,,,,,,,bb2,
Ramp230,"RAMP (2000, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp231,"RAMP (700, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp232,"RAMP (300, 20, 200, 2)",Long,1,RO,500,,,,,,,,,,bb2,
Ramp233,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp234,"RAMP (1700, 20.000000, 200.000000, 2.700000)",Double,1,RO,500,,,,,,,,,,bb2,
Ramp235,"RAMP (800, 20, 200, 2)",Long,1,RO,500,,,,,,,,,,bb2,
Ramp236,"RAMP (1500, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp237,"RAMP (1000, 20, 200, 2)",Long,1,RO,500,,,,,,,,,,bb2,
Ramp238,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,500,,,,,,,,,,bb2,
Ramp239,"RAMP (1800, 20, 200, 2)",Long,1,RO,300,,,,,,,,,,bb2,
Ramp240,"RAMP (1900, 20, 200, 2)",Long,1,RO,100,,,,,,,,,,bb2,
Ramp241,"RAMP (1300, 20, 200, 2)",Long,1,RO,200,,,,,,,,,,bb2,
Ramp242,"RAMP (1900, 20.000000, 200.000000, 2.700000)",Double,1,RO,800,,,,,,,,,,bb2,
Ramp243,"RAMP (1400, 20.000000, 200.000000, 2.700000)",Double,1,RO,1000,,,,,,,,,,bb2,
Ramp244,"RAMP (1200, 20.000000, 200.000000, 2.700000)",Double,1,RO,700,,,,,,,,,,bb2,
Ramp245,"RAMP (1700, 20, 200, 2)",Long,1,RO,400,,,,,,,,,,bb2,
Ramp246,"RAMP (1000, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
Ramp247,"RAMP (1500, 20, 200, 2)",Long,1,RO,500,,,,,,,,,,bb2,
Ramp248,"RAMP (1400, 20, 200, 2)",Long,1,RO,900,,,,,,,,,,bb2,
Ramp249,"RAMP (300, 20, 200, 2)",Long,1,RO,700,,,,,,,,,,bb2,
Ramp250,"RAMP (1900, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp251,"RAMP (1800, 20, 200, 2)",Long,1,RO,600,,,,,,,,,,bb2,
Ramp252,"RAMP (1800, 20, 200, 2)",Long,1,RO,200,,,,,,,,,,bb2,
Ramp253,"RAMP (1100, 20, 200, 2)",Long,1,RO,1000,,,,,,,,,,bb2,
Ramp254,"RAMP (900, 20.000000, 200.000000, 2.700000)",Double,1,RO,900,,,,,,,,,,bb2,
Ramp255,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,100,,,,,,,,,,bb2,
Ramp256,"RAMP (100, 20.000000, 200.000000, 2.700000)",Double,1,RO,700,,,,,,,,,,bb2,
Ramp257,"RAMP (1000, 20.000000, 200.000000, 2.700000)",Double,1,RO,600,,,,,,,,,,bb2,
